TID_LANGUAGE_LOCALIZED_NAME;English;ÖĞÎÄ
TID_ALLIANCE_CASTLE_INFO;The Clan Castle flies the colors of your Clan. It also houses any reinforcement troops sent by your clanmates.;ÄãµÄ¼Ò×å£¬¼Ò×å³Ç±¤·ÉµÄÑÕÉ«¡£ËüÒ²°²ÖÃÈÎºÎÔöÔ®²¿¶ÓÄãµÄ×åÈËÃÇµÄÉËº¦·¢ËÍ¡£
TID_WORKER_INFO;Nothing gets done around here without Builders! You can hire more builders to start multiple construction projects, or speed up their work by using green gems.;ÔÚÕâÀïÊ²Ã´¶¼×ö²»½¨Öş¹¤µØ£¡Äã¿ÉÒÔ¹ÍÓ¶¸ü¶àµÄÖÆÔìÉÌÆô¶¯¶à¸ö½¨ÉèÏîÄ¿£¬»òÓÃÂÌ±¦Ê¯£¬¼Ó¿ìËûÃÇµÄ¹¤×÷¡£
TID_LABORATORY_INFO;What dark secrets do the Alchemists hide inside their Laboratory? Nobody has dared to look. All we know is that their research makes our spells and troops harder, better, faster and stronger!;·½Ê¿Ê²Ã´ºÚ°µµÄÃØÃÜÒş²ØÔÚËûÃÇµÄÊµÑéÊÒÂğ£¿Ã»ÓĞÈË¸Ò¿´¡£ÎÒÃÇËùÖªµÀµÄÊÇ£¬ËûÃÇµÄÑĞ¾¿Ê¹ÎÒÃÇµÄ·¨ÊõºÍ²¿¶Ó¸ü¼ÓÅ¬Á¦£¬¸üºÃ£¬¸ü¿ì£¬¸üÇ¿£¡
TID_STREAM_SENDER_YOU;You;Äú
TID_SHIELD_ACTIVATED;Opponent's shield activated for <hours> hours;¶ÔÊÖµÄ¶Ü¼¤»î<hours>Ğ¡Ê±
TID_STREAM_ENTRY_AGE;<time> ago;<TIME>Ç°
TID_UPGRADE_WINDOW_NOTE;Note!;×¢Òâ£¡
TID_OBSTACLE_CLEAR_TIME;Removal time;²ğ³ıÊ±¼ä
TID_UPGRADE_TIME;Upgrade time;Éı¼¶Ê±¼ä
TID_BUILD_TIME;Build time;½¨ÔìÊ±¼ä
TID_UNLOCK_BUILDINGS;Unlocks Buildings:;½âËø½¨ÖşÎï£º
TID_REQUIRED_EXP_LEVEL;Experience Level <number> Required;¾­ÑéË®Æ½<number>¸ö±ØÑ¡
TID_REQUIRED_TOWN_HALL_LEVEL;Level <number> Town Hall Required;ĞèÒªµÈ¼¶<Êı×Ö>´ó»áÌÃ
TID_REQUIRED_CASTLE_LEVEL;Level <number> Castle Required;ĞèÒªµÈ¼¶<Êı×Ö>³Ç±¤
TID_REQUIRED_BARRACK_LEVEL;Level <number> Barracks Required;¼¶<Êı×Ö>¾üÓª±ØÒª
TID_REQUIRED_LABORATORY_LEVEL;Level <number> Laboratory Required;ÊµÑéÊÒËùĞèµÄË®Æ½<Êı×Ö>
TID_INFO_PREFERRED_TARGET;Favorite target:;×îÏ²»¶µÄÄ¿±ê£º
TID_PREFERRED_TARGET_ANY;Any;ÈÎºÎ
TID_PREFERRED_TARGET_DAMAGE_BONUS;(Damage x<number>);£¨ÊÜËğX <Êı×Ö>£©
TID_INFO_TARGET_TYPE;Targets:;Ä¿±ê£º
TID_INFO_DAMAGE_TYPE;Damage type:;ÉËº¦ÀàĞÍ£º
TID_INFO_HEAL_TYPE;Heal type:;ÖÎÓúÀàĞÍ£º
TID_INFO_HOUSING;Housing Space:;·¿Îİ¿Õ¼ä£º
TID_INFO_TRAINING_TIME;Training Time:;ÅàÑµÊ±¼ä£º
TID_INFO_RANGE;Range:;·¶Î§£º
TID_INFO_TARGET_TYPE_GROUND;Ground;µØÃæ
TID_INFO_TARGET_TYPE_GROUND_AND_AIR;Ground & Air;µØÃæºÍ¿ÕÆø
TID_INFO_TARGET_TYPE_AIR;Air;¿ÕÆø
TID_INFO_DAMAGE_TYPE_AOE;Area Splash;Çø·É½¦
TID_INFO_DAMAGE_TYPE_SINGLE;Single Target;µ¥Ä¿±ê
TID_INFO_RANGE_VALUE;<number> Tiles;<Êı×Ö>´É×©
TID_LOCAL_NOTIFICATION_UPGRADE_READY;<item> upgraded to level <level>;<ITEM>Éı¼¶µ½Æ½<LEVEL>
TID_LOCAL_NOTIFICATION_BUILDING_READY;<item> construction finished;<ITEM>Ê©¹¤Íê±Ï
TID_LOCAL_NOTIFICATION_SHIELDS_WILL_DISAPPEAR;Chief, our shield is about to run out!;ĞĞÕş£¬ÊÇÎÒÃÇµÄ¶ÜÅÆÊÇ¿ìÒªÓÃÍêÁË£¡
TID_NEW;New;ĞÂ
TID_POPUP_CANCEL_CONSTRUCTION_TITLE;Stop construction?;Í£Ö¹½¨Éè£¿
TID_POPUP_CANCEL_CONSTRUCTION;Do you really want to stop constructing <item>? Only <number>% of the cost will be refunded.;ÄãÕæµÄÏëÍ£Ö¹½¨ÉèµÄ<item>Âğ£¿Ö»ÓĞ<±àºÅ>£¥µÄ·ÑÓÃ½«±»ÍË»¹¡£
TID_POPUP_CANCEL_UPGRADE_TITLE;Stop upgrade?;Í£Ö¹Éı¼¶£¿
TID_POPUP_CANCEL_UPGRADE;Do you really want to stop upgrading <item>? Only <number>% of the cost will be refunded.;ÄãÕæµÄÏëÍ£Ö¹Éı¼¶µÄ<item>£¿Ö»ÓĞ<±àºÅ>£¥µÄ·ÑÓÃ½«±»ÍË»¹¡£
TID_POPUP_CANCEL_CLEAR_TITLE;Stop removal?;Í£Ö¹È¥³ı£¿
TID_POPUP_CANCEL_CLEAR;Do you really want to stop removing <item>?;ÄãÕæµÄÏëÍ£Ö¹É¾³ı<ITEM>Âğ£¿
TID_ALLIANCE_LEADERBOARDS;Top Clans;Ç°ÖĞ¶Ó
TID_PLAYER_LEADERBOARDS;Top Players;×î¼ÑÇòÔ±
TID_AVAILABLE_LOOT;Available Loot:;¿ÉÓÃµÄÕ½ÀûÆ·£º
TID_INFO;i;ÎÒ
TID_ATTACK_BUTTON;Attack;¹¥»÷
TID_ALLIANCE_SNEAK_PREVIEW;Unlock Clans by rebuilding the Clan Castle!;½âËøÖĞ¶ÓÖØ½¨µÄ¼Ò×å³Ç±¤£¡
TID_BUILD_TIME_INSTANT;None;ÎŞ
TID_BUILDING_CAP_REACHED;You've already built the maximum amount of these buildings.;ÄãÒÑ¾­½¨Á¢ÁËÕâĞ©½¨ÖşµÄ×î¸ß½ğ¶î¡£
TID_DIAMONDS_FOUND;You found <number> gems from the <name>!;Äú´Ó<Ãû³Æ> <Êı×Ö>±¦Ê¯£¡
TID_DIAMOND_FOUND;You found a gem from the <name>!;Äã·¢ÏÖµÄ±¦Ê¯µÄ<name>£¡
TID_SHOP_CATEGORY_DECOS;Decorations;ÊÎ
TID_SHOP_CATEGORY_RESOURCE_BUILDINGS;Resources;×ÊÔ´
TID_SHOP_CATEGORY_ARMY_BUILDINGS;Army;¾ü¶Ó
TID_SHOP_CATEGORY_DEFENSE_BUILDINGS;Defenses;·ÀÓù
TID_SHOP_CATEGORY_TREASURE;Treasure;±¦
TID_SHOP_CATEGORY_SHIELD;Shield;ÆÁ±Î
TID_SHOP_CATEGORY_BUILDERS;Builders;½¨ÉèÕß
TID_TRAINING_WARRIORS;Warriors:;ÓÂÊ¿£º
TID_TRAINING_SLOTS;Training slots:;ÅàÑµ²å²Û£º
TID_TOTAL_TRAINING_TIME;Total time:;×ÜÊ±¼ä£º
TID_FINISH_BUTTON;Finish;Íê
TID_TROOP_TRAINING_MAX;Max;×î´ó
TID_UNCLOK_FROM_LABORATORY;Unlock from Laboratory;´ÓÊµÑéÊÒ½â³ıËø¶¨
TID_NOT_ENOUGH_HOUSING_SPACE;You don't have enough room in Army Camps!;ÔÚ¾üÓª£¬ÄãÃ»ÓĞ×ã¹»µÄ¿Õ¼ä£¡
TID_UNLOCK_BARRACK_TROOP;Unlocks Warrior:;½âËøÕ½Ê¿£º
TID_BUILDING_TEXT_FULL;Full!;Âú£¡
TID_BUILDING_TEXT_TRAIN;Train;»ğ³µ
TID_TRAINING_SLOT_STOPPED;Stopped!;Í£Ö¹£¡
TID_BUILDING_TEXT_ALERT;!!!;£¡
TID_TRAIN_ALL_HOUSINGS_FULL;All Camps Full!;ËùÓĞÓªÇø¶¼Âú£¡
TID_TRAIN_ALL_HOUSINGS_FULL_INFO;Upgrade or build Army Camps to house more troops, or send them to fight!;Éı¼¶»ò½¨Ôì¾üÓª£¬ÒÔÈİÄÉ¸ü¶àµÄ²¿¶Ó£¬»ò¸øËûÃÇ´ò£¡
TID_BUTTON_FIGHT;Start!;¿ªÊ¼£¡
TID_BATTLE_START_TIME;Battle starts in:;Õ½¶·¿ªÊ¼£º
TID_NEXT_MATCH;Next;ÏÂ
TID_END_BATTLE_BUTTON;End Battle;½áÊøÕ½¶·
TID_SURRENDER_BUTTON;Surrender;Í¶½µ
TID_TROOP_UPGRADE_TIME;Total time:;×ÜÊ±¼ä£º
TID_MAX_TROOP_LEVEL;Max Level;×î¸ßµÈ¼¶
TID_LEVEL_NUM;Level <number>;¼¶<Êı×Ö>
TID_BUTTON_UPGRADE_TROOPS;Research;ÑĞ¾¿
TID_POPUP_UPGRADE_TROOP_TITLE;Choose what to upgrade;Ñ¡ÔñÒªÉı¼¶
TID_TROOP_ALREADY_AT_MAX_LEVEL;Unit is already at maximum level!;µ¥Î»ÒÑ¾­ÔÚ×î¸ßË®Æ½£¡
TID_TROOP_UPGRADE_ALREADY_ONGOING;Unit is already being upgraded!;µ¥Î»ÒÑ¾­±»Éı¼¶ÁË£¡
TID_TROOP_UPGRADE_COMPLETED;Upgrade completed: <item> Level <number>;Éı¼¶Íê³É£º<ITEM>µÄË®Æ½<Êı×Ö>
TID_UNITS_LEFT;<number> left;<Êı×Ö>Àë¿ª
TID_PLAYER_ATTACKING_YOU;Players attacking you:;Íæ¼Ò¹¥»÷Äã£º
TID_LOOT;You lost resources:;ÄãÊ§È¥µÄ×ÊÔ´£º
TID_OUTCOME;Outcome:;½á¹û£º
TID_YOU_LOST;Your Defence Lost;ÄúµÄ¹ú·À¶ªÊ§
TID_YOU_WIN;Your Defence Won;ÄúµÄ¹ú·Àº«Ôª
TID_REVENGE;Revenge;¸´³ğ
TID_JOINQUESTION;Want to join?;Ïë¼ÓÈëÂğ£¿
TID_TAP_TO_EXPAND;Tap to expand;µã»÷À©Õ¹
TID_BUY_MISSING_RESOURCES_HEADER;You need more <resource>;ÄãĞèÒª¸ü¶àµÄ<×ÊÔ´>
TID_BUY_MISSING_RESOURCES_TEXT;Buy the missing <count> <resource>?;Ê§×ÙµÄ<¼ÆÊı> <×ÊÔ´>£¿
TID_BUY_RESOURCE_PACK_HEADER;Buy <resource>?;¹ºÂò<×ÊÔ´>£¿
TID_BUY_RESOURCE_PACK_TEXT;Are you sure you want to buy <count> <resource>?;ÄãÈ·¶¨ÄãÏëÒªÂò<¼ÆÊı> <×ÊÔ´>Âğ£¿
TID_BUY_SHIELD_HEADER;Buy shield?;¹ºÂò¶Ü£¿
TID_BUY_SHIELD_TEXT;Are you sure you want to buy <name>?;È·¶¨ÄãÏëÂò<NAME>Âğ£¿
TID_RESOURCE_PACK_LOCKED;Not enough storage space!;Ã»ÓĞ×ã¹»µÄ´æ´¢¿Õ¼ä£¡
TID_STAR1;Awesome!;Õæ°ô£¡
TID_STAR2;Excellent!;ºÃ¼«ÁË£¡
TID_STAR3;Perfect!;ÍêÃÀ£¡
TID_OVERALL_DAMAGE;Overall Damage;×ÜÌåÉËº¦
TID_SHIELD_TITLE;Shield:;¶Ü£º
TID_SHIELD_NONE;None;ÎŞ
TID_BATTLE_LOG;Battle Log;Õ½¶·ÈÕÖ¾
TID_BATTLE_INBOX;Inbox;ÊÕ¼şÏä
TID_VICTORY;Victory;Ê¤Àû
TID_DEFEAT;Defeat;´ò°Ü
TID_WHAT_YOU_GOT;You got:;ÄãÓĞ£º
TID_TROOPS_USED;Troops expended:;²¿¶Ó»¨·Ñ£º
TID_TOTAL_DAMAGE;Total damage:;×ÜÉËº¦£º
TID_SCORE;Score;µÃ·Ö
TID_YOU_HAVE_BEEN_ATTACKED;Chief, our village was attacked!;ĞĞÕş£¬ÎÒÃÇµÄ´å×¯±»Ï®»÷ÁË£¡
TID_YOU_HAVE_BEEN_ATTACKED_TITLE;Enemy raid;µĞÈËÍ»Ï®
TID_YOU_HAVE_BEEN_ATTACKED_HEADER;Chief, the village was attacked while you were gone!;Ö÷ÈÎ£¬´åÔâµ½Ï®»÷£¬¶øÄãÒÑ¾­×ßÁË£¡
TID_TUTORIAL_CANNON_1;Welcome Chief! We sure have been waiting for you.;»¶Ó­ĞĞÕş£¡ÎÒÃÇ¿Ï¶¨Ò»Ö±ÔÚµÈÄã¡£
TID_TUTORIAL_CANNON_2;This is your new village, isn't it lovely! Life here would be perfect if it wasn't for....;ÕâÊÇÄãµÄĞÂÅ©´å£¬ÊÇ²»ÊÇºÜ¿É°®£¡ÕâÀïµÄÉú»îÊÇÍêÃÀµÄ£¬Èç¹ûËü²»ÊÇÎª......
TID_TUTORIAL_CANNON_3;Oh no, it's the Goblin Horde! Quick, let's set up a Cannon to defend the village!;Å¶£¬²»£¬ÕâÊÇµØ¾«²¿Âä£¡¿ìËÙ£¬ÈÃÎÒÃÇ½¨Á¢Ò»ÃÅ´óÅÚÀ´±£ÎÀ´å×¯£¡
TID_TUTORIAL_CANNON_4;Place the Cannon in the center of the village. We must protect the Town Hall!;ÔÚÖĞĞÄ°Ú·Å´óÅÚ¡£ÎÒÃÇ±ØĞë±£»¤ÊĞÕşÌü£¨Town Hall£©£¡
TID_TUTORIAL_CANNON_5;Now's not the time to be stingy. Spend some green gems to speed things up!;ÏÖÔÚ²»ÊÇÁßØÄµÄÊ±¼ä¡£»¨Ò»Ğ©ÂÌÉ«µÄ±¦Ê¯£¬ÒÔ¼Ó¿ìËÙ¶È£¡
TID_TUTORIAL_DEFEND_1;Gwar, there they are! Goblin Horde ATTAAACK!!;GWAR£¬ËûÃÇÔÚÄÇÀï£¡µØ¾«²¿Âä£¬¹¥»÷£¡
TID_TUTORIAL_DEFEND_1b;Gwahaah, what is this? Another puny human!;Gwahaah£¬ÕâÊÇÊ²Ã´£¿ÁíÒ»¸öÈõĞ¡µÄÈË£¡
TID_TUTORIAL_DEFEND_2;Phew, that was a close call. Thanks Chief!;à¡£¬ÕâÊÇÒ»¸öÇ§¾ûÒ»·¢¡£ÓÉÓÚĞĞÕş£¡
TID_TUTORIAL_DEFEND_4;We built the village on a Ley Line. That means the Cannon will magically repair itself over time.;ÎÒÃÇ½¨´åÔÚÀ³ÒÁÏß¡£ÕâÒâÎ¶×ÅÅÚ»áÆæ¼£°ãµØ×ÔÎÒĞŞ¸´£¬Ëæ×ÅÊ±¼äµÄÍÆÒÆ¡£
TID_TUTORIAL_DEFEND_5;Gwarh, GOLD! We goblins love gold!;Gwarh£¬GOLD£¡ÎÒÃÇÑı¾«°®½ğ£¡
TID_TUTORIAL_DEFEND_BUTTON;Bring it on!;À´°É£¡
TID_TUTORIAL_WORKER_1;Wow, nice going! Now we need to get this village into fighting shape.;ÍÛ£¬ºÜ¸ßĞË£¡ÏÖÔÚ£¬ÎÒÃÇĞèÒªµÃµ½Õâ¸ö´å½øÈëÕ½¶·×´Ì¬¡£
TID_TUTORIAL_WORKER_2;Hiring a second builder will let you start two constructions simultaneously.;¹ÍÓÃµÚ¶şÉú³ÉÆ÷£¬¿ÉÒÔÈÃÄãÍ¬Ê±Æô¶¯Á½¸ö½á¹¹¡£
TID_TUTORIAL_ELIXIR_1;Elixir is essential for training troops and building many structures.;Ò©¼ÁÑµÁ·¾ü¶Ó£¬½¨ÉèĞí¶à½á¹¹ÊÇ±Ø²»¿ÉÉÙµÄ¡£
TID_TUTORIAL_ELIXIR_2;You can pump Elixir from the underground Ley Line. Let's try it!;Äú¿ÉÒÔ´ÓµØÏÂÀ³ÒÁÏß±ÃÒ©¼Á¡£ÈÃÎÒÃÇÊÔÊÔ°É£¡
TID_TUTORIAL_ELIXIR_STORAGE_1;The collector can only store a small amount of Elixir.;Æ÷Ö»ÄÜ´æ´¢ÉÙÁ¿µÄÒ©¼Á¡£
TID_TUTORIAL_ELIXIR_STORAGE_2;Let's build a Storage vat so we can stockpile the stuff!;ÈÃ½¨Á¢Ò»¸ö´æ´¢ÔöÖµË°£¬ËùÒÔÎÒÃÇ¿ÉÒÔ´¢´æµÄ¶«Î÷£¡
TID_TUTORIAL_GOLD_STORAGE_1;We also need a safe place to store our gold reserves.;ÎÒÃÇ»¹ĞèÒªÒ»¸ö°²È«µÄµØ·½À´´æ´¢ÎÒÃÇµÄ»Æ½ğ´¢±¸¡£
TID_TUTORIAL_GOLD_STORAGE_2;Build a Gold Storage so we can stockpile gold!;½¨Á¢Ò»¸ö»Æ½ğµÄ´æ´¢£¬ÕâÑùÎÒÃÇ¾Í¿ÉÒÔ´¢´æ½ğ£¡
TID_TUTORIAL_BARRACK_1;Chief, we need an army to fight those goblins! Let's build a Barracks.;ĞĞÕş£¬ÎÒÃÇĞèÒªÒ»Ö§¾ü¶ÓÀ´¶Ô¸¶ÄÇĞ©Ğ¡Ñı¾«£¡ÈÃÎÒÃÇ½¨Á¢Ò»¸ö±øÓª¡£
TID_TUTORIAL_TRAIN_1;Now let's train some troops!;ÏÖÔÚ£¬ÈÃÎÒÃÇÒ»Ğ©²¿¶ÓµÄÑµÁ·£¡
TID_TUTORIAL_TRAIN_2;Tap the Barracks and choose Train Troops;µã»÷±øÓª£¬È»ºóÑ¡Ôñ¡°ÑµÁ·Ê¿±ø
TID_TUTORIAL_CHANGE_NAME;That was a great battle! How shall you be known in our history?;ÕâÊÇÒ»¸öÎ°´óµÄÕ½¶·£¡ÄãÃÇÈçºÎÖªµÀÎÒÃÇµÄÀúÊ·£¿
TID_TUTORIAL_TOWN_HALL_1;With the gold we took from the goblins, we can afford to upgrade the Town Hall.;ÎÒÃÇ´ÓµØ¾«µÄ½ğ£¬ÎÒÃÇÓĞÄÜÁ¦ÒÔÌáÉıÊĞÕşÌü£¨Town Hall£©¡£
TID_TUTORIAL_TOWN_HALL_2;Good job! We can now build new buildings thanks to the Town Hall upgrade.;¸ÉµÃºÃ£¡ÏÖÔÚ£¬ÎÒÃÇ¿ÉÒÔ½¨Á¢ĞÂ½¨ÖşÓÉÓÚ´ó»áÌÃÉı¼¶¡£
TID_TUTORIAL_ACHIEVEMENTS;If you're looking for new challenges to beat, just ask me by tapping here.;Èç¹ûÄãÕıÔÚÑ°ÕÒĞÂµÄÌôÕ½£¬»÷°Ü£¬Ö»ÊÇÎÊÎÒÍ¨¹ıµã»÷ÕâÀï¡£
TID_TUTORIAL_ACHIEVEMENTS2;Chief, you obviously know what you're doing. The whole village is counting on you!;Ö÷ÈÎ£¬ÄãÃ÷Ã÷ÖªµÀÄãÔÚ×öÊ²Ã´¡£Õû¸ö´å×ÓÖ¸ÍûÄãÁË¡£
TID_GOBLIN_SPEAKS_1;Gwaaarh! I'm not through with you yet.;Gwaaarh£¡ÎÒ²»ÊÇÄãµÄÄØ¡£
TID_GOBLIN_SPEAKS_2;You may have beaten me once, but this goblin camp is a lot tougher.;Äú¿ÉÄÜ»÷°ÜÎÒÒ»´Î£¬µ«£¬Õâ¸ç²¼ÁÖÓªµØÊÇºÜ¶à¸üÑÏÀ÷µÄ¡£
TID_TUTORIAL_GOLDSTORAGE;You also need a place to store all your precious gold!;Äú»¹ĞèÒªÒ»¸öµØ·½À´´æ´¢ÄãËùÓĞµÄ½ğ×Ó£¡
TID_TUTORIAL_ELIXIRSTORAGE;That elixir needs a place to store it as well.;ÕâÁéÒ©ĞèÒª½«Ëü´æ´¢ÎªÒ»¸öµØ·½¡£
TID_LOCKED_IN_TUTORIAL;Complete the tutorial to unlock this feature!;Íê³É±¾½Ì³Ì½â¿ªÕâ¸ö¹¦ÄÜ£¡
TID_TUTORIAL_ATTACK_NPC_1;The Wizards from Ivory Tower are here to help us! Let's take out the goblin camp!;´ÓÏóÑÀÖ®ËşµÄÆæ²Å¶ÓÊÇÀ´°ïÖúÎÒÃÇµÄ£¡ÈÃÎÒÃÇµÄ¸ç²¼ÁÖÓªµØ£¡
TID_TUTORIAL_ATTACK_NPC_2;Well done. Now let's kick some green butt!;¸ÉµÃºÃ¡£ÏÖÔÚÈÃÎÒÃÇÀ´½Ò¿ªÒ»Ğ©ÂÌÉ«µÄÆ¨¹É£¡
TID_TUTORIAL_ATTACK_NPC_BUTTON;Attack!;¹¥»÷£¡
TID_NPC_NAME_TUTORIAL;Payback;Í¶×Ê»ØÊÕÆÚ
TID_NPC_NAME_TUTORIAL2;Goblin Forest;Ğ¡Ñı¾«É­ÁÖ
TID_JOINALLIANCEQUESTION;Accept Clan invitation?;½ÓÊÜ¼Ò×åÑûÇë£¿
TID_POPUP_SHIELD_REMOVAL_TITLE;Shield is active;¶Ü´¦ÓÚ¼¤»î×´Ì¬
TID_POPUP_SHIELD_REMOVAL;Attacking will disable your shield, and other players will be able to attack you. Are you sure?;¹¥»÷½«½ûÓÃÄãµÄ¶ÜÅÆ£¬ºÍÆäËûÍæ¼Ò½«¿ÉÒÔ¶ÔÄã½øĞĞ¹¥»÷¡£ÄãÈ·¶¨Âğ£¿
TID_UPDATE_TROOP_LEVEL;Upgrade to level <number>;Éı¼¶µ½Ë®Æ½<Êı×Ö>
TID_LEVEL_UP;Level Up!;Ë®Æ½Up£¡
TID_NEW_ITEMS_UNLOCKED;New Items Unlocked;ĞÂ²úÆ·½âËø
TID_REQUESTTROOPS;Request Warriors;ÇëÇóÓÂÊ¿
TID_MISSION_SCREEN_TITLE;Missions;ÈÎÎñ
TID_MISSION_REWARD;Reward:;½±Àø£º
TID_MISSION_COMPLETE_TITLE;Mission Completed!;ÈÎÎñÍê³É£¡
TID_ATTACK_LOCKED;Upgrade Town Hall to level 2 to unlock this feature!;ÊĞÕşÌüÉı¼¶µ½2¼¶£¬½â¿ªÕâ¸ö¹¦ÄÜ£¡
TID_RANKTITLE;Rank;ÅÅÃû
TID_BUTTON_REPAIR;Rebuild;ÖØ½¨
TID_DIAMOND_PACK_1;Pile of Gems;×®µÄ±¦Ê¯
TID_DIAMOND_PACK_2;Bag of Gems;±¦Ê¯´ü
TID_DIAMOND_PACK_3;Sack of Gems;±¦Ê¯´ü
TID_DIAMOND_PACK_4;Box of Gems;ÏäµÄ±¦Ê¯
TID_DIAMOND_PACK_5;Chest of Gems;ĞØ²¿µÄ±¦Ê¯
TID_DIAMOND_PACK_6;Trunk of Gems;Ö÷¸É±¦Ê¯
TID_TRAIN_TUTORIAL_ARROW;Hold down;°´×¡
TID_DIAMOND_SHOP_PACK;<number> Gems;<Êı×Ö>±¦Ê¯
TID_GOLD_SHOP_PACK;<number> Gold;<Êı×Ö>»Æ½ğ
TID_ELIXIR_SHOP_PACK;<number> Elixir;<Êı×Ö>Ò©¼Á
TID_RESOURCE_PACK_GOLD_FULL;Fill Gold Storages;ÌîĞ´»Æ½ğ´¢Á¿
TID_RESOURCE_PACK_ELIXIR_FULL;Fill Elixir Storages;ÌîĞ´Ò©¼ÁÖüÁ¿
TID_RESOURCE_PACK_GOLD_10;Fill Storages by 10%;ÌîĞ´´¢Á¿µÄ10£¥
TID_RESOURCE_PACK_ELIXIR_10;Fill Storages by 10%;ÌîĞ´´¢Á¿µÄ10£¥
TID_RESOURCE_PACK_GOLD_50;Fill Storages by Half;ÌîĞ´´¢Á¿µÄÒ»°ë
TID_RESOURCE_PACK_ELIXIR_50;Fill Storages by Half;ÌîĞ´´¢Á¿µÄÒ»°ë
TID_CONTAINER_MAX;Max:;Âí¿ËË¹£º
TID_SHOP_AVAILABLE;Available:;¿ÉÓÃ£º
TID_BATTLE_LOG_COL_1;Player attacking you:;Íæ¼Ò¹¥»÷Äã£º
TID_BATTLE_LOG_COL_2;Resources lost:;×ÊÔ´ËğÊ§£º
TID_BATTLE_LOG_COL_3;Outcome:;½á¹û£º
TID_PVP_BUTTON;Find a Match;ÕÒµ½Ò»¸öÆ¥Åä
TID_NPC_ATTACK_BUTTON;Attack;¹¥»÷
TID_NPC1;Goblin Outpost;µØ¾«Ç°ÉÚ»ùµØ
TID_NPC2;Rocky Fort;Âåí¶±¤
TID_NPC3;Goblin Gauntlet;µØ¾«ó×ĞÌ
TID_NPC4;Cannonball Run;ÅÚµ¯·É³µ
TID_NPC5;Two Smoking Barrels;Á½¸Ë´óÑÌÇ¹
TID_NPC6;Gold Rush;ÌÔ½ğ
TID_NPC7;Maginot Line;ÂíÆäÅµ·ÀÏß
TID_NPC8;Rat Valley;Êó¹È
TID_NPC9;Brute Force;ÂùÁ¦
TID_NPC10;Gobbotown;Gobbotown
TID_NPC11;M is for Mortar;MÊÇÉ°½¬
TID_NPC12;Megablaster;Megablaster
TID_NPC13;Immovable Object;ÎŞ·¨º³¶¯Ö®Îï
TID_NPC14;Fort Knobs;±¤ĞıÅ¥
TID_NPC15;Watchtower;¸ÚÂ¥
TID_NPC16;Fool's Gold;»ÆÌú¿ó
TID_NPC17;Thoroughfare;Í¨µÀ
TID_NPC18;Bouncy Castle;³äÆø³Ç±¤
TID_NPC19;Fikova;Fikova
TID_NPC20;Gobbo Campus;GobboĞ£Ô°
TID_NPC21;Danny Boy;µ¤ÄáÄĞº¢
TID_NPC22;Ommahha Beech;Ommahhaé·Ä¾
TID_NPC23;Walls of Steel;¸ÖÇ½
TID_NPC24;Sicilian Defense;Î÷Î÷Àï·ÀÓù
TID_NPC25;Obsidian Tower;ºÚê×Ê¯Ëş
TID_NPC26;Arrow Head;¼ıÍ·
TID_NPC27;Red Carpet;ºìµØÌº
TID_NPC28;Natural Defense;ÌìÈ»·ÀÓù
TID_NPC29;Steel Gauntlet;¸Öó×ĞÌ
TID_NPC30;Queen's Gambit;Å®ÍõµÄ¿ª¾Ö
TID_NPC31;Full Frontal;È«ÕıÃæ
TID_NPC32;Chimp in Armor;ºÚĞÉĞÉ»¤¼×
TID_NPC33;Faulty Towers;¹ÊÕÏËş
TID_NPC34;Point Man;µãÂú
TID_NPC35;Triple A;ÈıA
TID_NPC36;Goblin Picnic;µØ¾«Ò°²Í
TID_NPC37;Bait 'n Switch;ÓÕ¶ü'nÇĞ»»
TID_NPC38;Collateral Damage;¼ä½ÓÉËº¦
TID_NPC39;Choose Wisely;Ã÷ÖÇµÄÑ¡Ôñ
TID_NPC40;Mega Evil;ÍòĞ°
TID_NPC41;Crystal Crust;Ë®¾§¿Ç
TID_NPC42;Cold as Ice;ÀäÈç±ù
TID_NPC43;Jump Around;ÌøÀ´ÌøÈ¥
TID_NPC44;Kitchen Sink;³ø·¿Ë®²Û
TID_NPC45;Rolling Terror;¹ö¶¯¿Ö²À
TID_NPC46;Megamansion;Megamansion
TID_NPC47;P.E.K.K.A's Playhouse;P.E.K.K.AµÄ¾ç³¡
TID_NPC48;Sherbet Towers;¹ûÖ­Å£ÄÌ¶³Ëş
TID_NPC49;Goblin King v.1;¾«ÁéÍõV.1
TID_NPC50;Goblin King v.2;¾«ÁéÍõV.2
TID_MULTIPLAYER;Multiplayer;¶àÈË
TID_SINGLEPLAYER;Single Player;µ¥ÈËÓÎÏ·
TID_MULTIPLAYER_POINTS;Your Trophies:;ÄãµÄ½±±­£º
TID_POPUP_NOT_ENOUGH_DIAMONDS_TITLE;Not enough Gems;Ã»ÓĞ×ã¹»µÄ±¦Ê¯
TID_POPUP_NOT_ENOUGH_DIAMONDS;Do you want to get more?;ÄãÏë»ñµÃ¸ü¶àµÄÂğ£¿
TID_POPUP_NOT_ENOUGH_DIAMONDS_BUTTON;Enter Shop;ÊäÈëµê
TID_GAMECENTER_ID_BOUND_TO_OTHER_VILLAGE_TITLE;;
TID_GAMECENTER_ID_BOUND_TO_OTHER_VILLAGE;;
